index	dev_index	text	cues	judgment	is_important
132	568	it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem .	nothing [2]	0	No
133	816	a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .	rootlessness [9]	1	No
134	653	a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan .	lackluster [1] | unessential [3]	0	Yes
135	280	it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation .	relentless [6]	1	Yes
136	335	with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here .	n't [19]	0	No
137	482	cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors .	nothing [15]	1	No
138	394	whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .	none [29]	1	No
139	442	the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .	unfunny [18]	0	Yes
140	851	impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly .	n't [18]	0	Yes
141	683	true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable .	unspeakable [20]	1	No
142	147	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .	n't [19]	0	Yes
143	631	burns never really harnesses to full effect the energetic cast .	never [1]	0	Yes
144	70	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .	never [21]	0	Yes
145	237	a by-the-numbers effort that wo n't do much to enhance the franchise .	n't [9]	0	Yes
146	1	unflinchingly bleak and desperate	unflinchingly [0]	0	No
147	685	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .	no [0]	1	No
148	703	samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal	unfortunate [21]	0	No
149	437	immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .	endlessly [4]	1	No
150	340	the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .	hopelessly [2] | unbroken [20]	0	No
151	465	shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .	nowhere [30]	0	Yes
152	264	it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy .	n't [2]	0	Yes
153	827	the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting .	no [9]	0	No
154	258	`` the time machine '' is a movie that has no interest in itself .	no [11]	0	Yes
155	506	crackerjack entertainment -- nonstop romance , music , suspense and action .	nonstop [3]	1	No
156	355	there is no pleasure in watching a child suffer .	no [2]	0	Yes
157	693	because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .	unnecessary [3]	0	No
158	591	i got a headache watching this meaningless downer .	meaningless [6]	0	No
159	548	i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal .	not [17]	0	Yes
160	414	it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .	unlike [7] | not [14]	1	Yes
161	530	a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .	unseen [19]	1	No
162	350	his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .	without [17]	0	Yes
163	528	it haunts , horrifies , startles and fascinates ; it is impossible to look away .	impossible [11]	1	No
164	562	scorsese does n't give us a character worth giving a damn about .	n't [2]	0	Yes
165	342	in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .	not [7]	0	No
166	619	an unclassifiably awful study in self - and audience-abuse .	unclassifiably [1]	0	No
167	59	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	never [24]	0	Yes
168	20	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	uneven [19] | never [23]	0	No
169	78	there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .	nothing [2]	1	No
170	491	as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality .	not [16] | hopeless [28]	0	No
171	100	neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .	neither [0]	1	No
172	564	the plot convolutions ultimately add up to nothing more than jerking the audience 's chain .	nothing [7]	0	Yes
173	771	very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks .	n't [11] | no [30]	0	Yes
174	423	i am sorry that i was unable to get the full brunt of the comedy .	unable [6]	0	No
175	354	the film is quiet , threatening and unforgettable .	unforgettable [7]	1	Yes
176	269	with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .	no [2]	0	No
177	458	featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results .	unsettlingly [28]	1	No
178	149	the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .	unhurried [11]	1	No
179	724	it 's everything you do n't go to the movies for .	n't [5]	0	Yes
180	441	there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill .	not [18]	0	No
181	645	the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate .	n't [11] | never [18]	0	Yes
182	107	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .	n't [4]	0	No
183	357	stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .	nothing [11]	0	No
184	209	this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .	not [2] | not [14]	0	No
185	782	the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .	never [28]	1	No
186	749	a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .	no [12] | no [16]	1	Yes
187	146	about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .	not [19]	1	No
188	368	the humor is forced and heavy-handed , and occasionally simply unpleasant .	unpleasant [12]	0	No
189	496	it 's about following your dreams , no matter what your parents think .	no [7]	1	No
190	671	two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .	n't [12]	1	No
191	411	i do n't mind having my heartstrings pulled , but do n't treat me like a fool .	n't [2] | n't [11]	0	Yes
192	865	mcconaughey 's fun to watch , the dragons are okay , not much fire in the script .	not [11]	1	No
193	713	corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .	undeniably [4]	0	No
194	610	like you could n't smell this turkey rotting from miles away .	n't [3]	0	No
195	97	no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .	no [0]	1	No
196	586	the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .	n't [3] | not [9] | nor [13]	0	Yes
197	177	does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .	n't [1]	0	Yes
198	421	it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them .	not [9]	1	No
199	663	it will grip even viewers who are n't interested in rap , as it cuts to the heart of american society in an unnerving way .	n't [7]	1	No
200	765	not an objectionable or dull film ; it merely lacks everything except good intentions .	not [0] | objectionable [2]	0	No
201	429	the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .	not [6] | nonexistent [13]	0	No
1	428	beautifully observed , miraculously unsentimental comedy-drama .	unsentimental [4]	1	No
2	166	characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs .	comprehensible [12] | no [15]	0	No
3	345	this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .	undiscovered [37]	1	No
4	869	a subject like this should inspire reaction in its audience ; the pianist does not .	not [14]	0	Yes
5	857	visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .	without [22]	1	No
6	199	at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave .	n't [8] | n't [22]	0	Yes
7	677	majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .	unconventional [3]	1	No
8	45	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .	weightless [10]	0	No
9	375	we have n't seen such hilarity since say it is n't so !	n't [2] | n't [10]	1	No
10	184	though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining .	neither nor [23, 26]	0	No
11	793	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume .	n't [14]	1	Yes
12	422	it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .	without [7] | n't [12]	1	No
13	400	it 's refreshing to see a girl-power movie that does n't feel it has to prove anything .	n't [12]	1	No
14	88	fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	n't [24]	1	No
15	489	it 's dumb , but more importantly , it 's just not scary .	not [11]	0	No
16	363	it 's a grab bag of genres that do n't add up to a whole lot of sense .	n't [9]	0	Yes
17	711	overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube .	not [13]	0	No
18	795	the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .	no [3] | no [7]	0	Yes
19	317	all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .	not [24]	1	No
20	770	i do n't think i laughed out loud once .	n't [2]	0	No
21	292	the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .	rather [17]	0	No
22	588	... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know .	n't [5]	1	No
23	210	not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .	not [9]	1	No
24	446	with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap .	inexorable [7]	0	No
25	728	but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck .	not [17]	1	Yes
26	759	if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .	n't [25]	0	No
27	349	... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .	unforgivably [3] | without [12]	0	No
28	800	for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking .	no [32]	0	No
29	605	puts a human face on a land most westerners are unfamiliar with .	unfamiliar [10]	1	No
30	750	nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .	unsentimental [3] | unemotional [19]	0	No
31	257	taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .	nothing [13]	0	No
32	672	in all , this is a watchable movie that 's not quite the memorable experience it might have been .	not [10]	0	Yes
33	182	i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .	n't [13]	0	Yes
34	65	you wonder why enough was n't just a music video rather than a full-length movie .	n't [5]	0	Yes
35	627	nervous breakdowns are not entertaining .	not [3]	0	No
36	167	the end result is a film that 's neither .	neither [8]	0	No
37	499	unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .	unlike [0]	1	No
38	42	the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .	never [11]	1	Yes
39	190	try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '	n't [7]	0	Yes
40	343	no way i can believe this load of junk .	no [0]	0	No
41	248	a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	not [8]	1	No
42	517	not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .	not [0]	1	No
43	649	the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency .	no [25] | no [28]	0	Yes
44	117	moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .	unforced [10] | not [24]	1	No
45	224	nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .	nothing [0]	1	No
46	766	while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .	not [9]	1	No
47	127	in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .	rather [16]	0	Yes
48	819	the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .	not [18] | not [26]	0	Yes
49	797	it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .	not [2] | n't [16]	0	Yes
50	772	not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .	not [0]	1	No
51	356	jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .	none [18]	0	No
52	775	not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .	not [0]	0	No
53	864	dull , lifeless , and amateurishly assembled .	lifeless [2]	0	No
54	560	do n't be fooled by the impressive cast list - eye see you is pure junk .	n't [1]	0	No
55	298	serving sara does n't serve up a whole lot of laughs .	n't [3]	0	Yes
56	515	if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter .	n't [12]	0	Yes
57	8	you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	n't [2]	1	No
58	230	reign of fire looks as if it was made without much thought -- and is best watched that way .	without [9]	1	No
59	111	there is n't nearly enough fun here , despite the presence of some appealing ingredients .	n't [2]	0	Yes
60	699	... routine , harmless diversion and little else .	harmless [3]	1	Yes
61	503	dragonfly has no atmosphere , no tension -- nothing but costner , flailing away .	no [2] | no [5]	0	No
62	665	and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .	not [4]	1	No

