index	dev_index	text	cues	target	judgment	is_important
1	74	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No [17] | without [48]	{'span2_index': 30, 'span1_index': 13, 'span1_text': 'Mama', 'span2_text': 'she'}	FALSE	No
2	14	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .	No [17] | without [48]	{'span2_index': 50, 'span1_index': 46, 'span1_text': 'chair', 'span2_text': 'it'}	FALSE	No
3	58	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	not [4] | not [24]	{'span2_index': 10, 'span1_index': 6, 'span1_text': 'the government official', 'span2_text': 'he'}	FALSE	No
4	73	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 20, 'span1_index': 12, 'span1_text': 'the master', 'span2_text': 'he'}	TRUE	No
5	12	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No [17] | without [48]	{'span2_index': 25, 'span1_index': 13, 'span1_text': 'Mama', 'span2_text': 'her'}	FALSE	No
6	90	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .	No [17] | without [48]	{'span2_index': 50, 'span1_index': 28, 'span1_text': 'album', 'span2_text': 'it'}	TRUE	No
7	55	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .	No [17] | without [48]	{'span2_index': 50, 'span1_index': 11, 'span1_text': 'button', 'span2_text': 'it'}	FALSE	No
8	66	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 48, 'span1_index': 12, 'span1_text': 'the master', 'span2_text': 'he'}	FALSE	No
9	83	Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy,	uncertain [6]	{'span2_index': 39, 'span1_index': 0, 'span1_text': 'Mr. Taylor', 'span2_text': 'his'}	FALSE	No
10	35	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 35, 'span1_index': 3, 'span1_text': 'Chester', 'span2_text': 'he'}	FALSE	No
11	87	The path to the lake was blocked, so we couldn't reach it .	n't [11]	{'span2_index': 11, 'span1_index': 3, 'span1_text': 'The lake', 'span2_text': 'it'}	TRUE	No
12	54	Jane gave Joan candy because she wasn't hungry.	n't [7]	{'span2_index': 5, 'span1_index': 0, 'span1_text': 'Jane', 'span2_text': 'she'}	TRUE	No
13	31	Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	n't [31]	{'span2_index': 19, 'span1_index': 7, 'span1_text': 'faces', 'span2_text': 'they'}	FALSE	No
14	27	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 39, 'span1_index': 16, 'span1_text': 'Edward', 'span2_text': 'his'}	FALSE	No
15	22	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 10, 'span1_index': 5, 'span1_text': 'Dad', 'span2_text': 'he'}	FALSE	No
16	3	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 20, 'span1_index': 2, 'span1_text': 'Larry', 'span2_text': 'his'}	FALSE	No
17	26	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 14, 'span1_index': 5, 'span1_text': 'Dad', 'span2_text': 'him'}	TRUE	No
18	69	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 14, 'span1_index': 2, 'span1_text': 'Larry', 'span2_text': 'him'}	FALSE	No
19	48	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	not [4] | not [24]	{'span2_index': 26, 'span1_index': 0, 'span1_text': 'Bernard', 'span2_text': 'he'}	TRUE	No
20	60	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	unhappy [13]	{'span2_index': 15, 'span1_index': 0, 'span1_text': 'Sam and Amy', 'span2_text': 'they'}	FALSE	No
21	34	Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .	n't [31]	{'span2_index': 31, 'span1_index': 7, 'span1_text': 'faces', 'span2_text': 'them'}	FALSE	No
22	53	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 31, 'span1_index': 2, 'span1_text': 'Dick', 'span2_text': 'he'}	FALSE	No
23	79	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 44, 'span1_index': 12, 'span1_text': 'the master', 'span2_text': 'him'}	FALSE	No
24	64	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 31, 'span1_index': 12, 'span1_text': 'the master', 'span2_text': 'he'}	TRUE	No
25	77	Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	n't [31]	{'span2_index': 19, 'span1_index': 5, 'span1_text': 'children', 'span2_text': 'they'}	TRUE	No
26	17	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 35, 'span1_index': 16, 'span1_text': 'Edward', 'span2_text': 'he'}	TRUE	No
27	36	Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .	n't [31]	{'span2_index': 31, 'span1_index': 26, 'span1_text': 'things', 'span2_text': 'them'}	TRUE	No
28	20	Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval	n't [10] | without [14]	{'span2_index': 8, 'span1_index': 1, 'span1_text': 'Chester', 'span2_text': 'he'}	TRUE	No
29	6	The path to the lake was blocked, so we couldn't use it .	n't [11]	{'span2_index': 11, 'span1_index': 0, 'span1_text': 'The path', 'span2_text': 'it'}	TRUE	No
30	21	Jane gave Joan candy because she wasn't hungry.	n't [7]	{'span2_index': 5, 'span1_index': 2, 'span1_text': 'Joan', 'span2_text': 'she'}	FALSE	No
31	0	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .	not [4] | not [24]	{'span2_index': 47, 'span1_index': 32, 'span1_text': 'anyone', 'span2_text': 'him'}	FALSE	No
32	37	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	unhappy [13]	{'span2_index': 15, 'span1_index': 8, 'span1_text': "Amy's parents", 'span2_text': 'they'}	TRUE	No
33	40	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 35, 'span1_index': 0, 'span1_text': 'Mr. Moncrieff', 'span2_text': 'he'}	FALSE	No
34	56	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	unhappy [13]	{'span2_index': 15, 'span1_index': 8, 'span1_text': "Amy's parents", 'span2_text': 'they'}	FALSE	No
35	28	The path to the lake was blocked, so we couldn't use it .	n't [11]	{'span2_index': 11, 'span1_index': 3, 'span1_text': 'The lake', 'span2_text': 'it'}	FALSE	No
36	1	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 39, 'span1_index': 0, 'span1_text': 'Mr. Moncrieff', 'span2_text': 'his'}	TRUE	No
37	102	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 20, 'span1_index': 5, 'span1_text': 'Dad', 'span2_text': 'his'}	TRUE	No
38	75	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 44, 'span1_index': 2, 'span1_text': 'Dick', 'span2_text': 'him'}	TRUE	No
39	16	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album . Today she had to hunt for a button , so she put the album on a chair without even opening it .	No [17] | without [48]	{'span2_index': 50, 'span1_index': 4, 'span1_text': 'living room', 'span2_text': 'it'}	FALSE	No
40	85	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	not [4] | not [24]	{'span2_index': 26, 'span1_index': 6, 'span1_text': 'the government official', 'span2_text': 'he'}	FALSE	No
41	49	Papa looked down at the children 's faces , so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them .	n't [31]	{'span2_index': 31, 'span1_index': 5, 'span1_text': 'children', 'span2_text': 'them'}	FALSE	No
42	43	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	not [14] | not [30]	{'span2_index': 10, 'span1_index': 2, 'span1_text': 'Larry', 'span2_text': 'he'}	TRUE	No
43	47	Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval	n't [10] | without [14]	{'span2_index': 14, 'span1_index': 5, 'span1_text': 'Uncle Vernon', 'span2_text': 'his'}	TRUE	No
44	80	Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval	n't [10] | without [14]	{'span2_index': 8, 'span1_index': 5, 'span1_text': 'Uncle Vernon', 'span2_text': 'he'}	FALSE	No
45	88	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him .	not [4] | not [24]	{'span2_index': 47, 'span1_index': 6, 'span1_text': 'the government official', 'span2_text': 'him'}	FALSE	No
46	103	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	unhappy [13]	{'span2_index': 15, 'span1_index': 0, 'span1_text': 'Sam and Amy', 'span2_text': 'they'}	TRUE	No
47	62	Mr. Moncrieff visited Chester 's luxurious New York apartment, thinking that it belonged to his son Edward . The result was that Mr. Moncrieff has decided to cancel Edward 's allowance on the ground that he no longer requires his financial support.	no [37]	{'span2_index': 39, 'span1_index': 3, 'span1_text': 'Chester', 'span2_text': 'his'}	FALSE	No
48	4	Since Chester was dependent on Uncle Vernon , he couldn't very well marry without his approval	n't [10] | without [14]	{'span2_index': 14, 'span1_index': 1, 'span1_text': 'Chester', 'span2_text': 'his'}	FALSE	No
49	86	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 20, 'span1_index': 2, 'span1_text': 'Dick', 'span2_text': 'he'}	FALSE	No
50	93	One day Dick was teasing the colts, and did not know that the master was in the next field; but he was there, watching what was going on; over the hedge he jumped in a snap, and catching Dick by the arm, he hit him so hard that he roared with the pain and surprise.	not [10]	{'span2_index': 20, 'span1_index': 2, 'span1_text': 'Dick', 'span2_text': 'he'}	FALSE	No
51	67	Bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	not [4] | not [24]	{'span2_index': 10, 'span1_index': 0, 'span1_text': 'Bernard', 'span2_text': 'he'}	TRUE	No
52	39	The path to the lake was blocked, so we couldn't reach it .	n't [11]	{'span2_index': 11, 'span1_index': 0, 'span1_text': 'The path', 'span2_text': 'it'}	FALSE	No